split,sequence,method,num_frames,psnr,ssim,sharpness,tde
calibration,006,RGB-HF-b0.30-s0.8,4,29.600481040582228,0.8153850088516871,0.000783538562245667,0.02980254590511322
calibration,010,RGB-HF-b0.30-s0.8,4,31.376382011669033,0.8763167709112167,0.0006228764832485467,0.021982723847031593
calibration,011,RGB-HF-b0.30-s0.8,4,23.533656656405206,0.6430311799049377,0.0016607027791906148,0.06480387598276138
calibration,000,RGB-HF-b0.40-s0.3,4,27.215036250386213,0.7691025485595068,0.0016216278017964214,0.040729086846113205
calibration,003,RGB-HF-b0.40-s0.3,4,30.3328522169819,0.8965665797392528,0.0018997577135451138,0.026339128613471985
calibration,006,RGB-HF-b0.40-s0.3,4,29.614597845538192,0.8163887759049734,0.0009113040723605081,0.029687345027923584
calibration,010,RGB-HF-b0.40-s0.3,4,31.40610616433083,0.8766185442606608,0.0007224899018183351,0.021828288212418556
calibration,011,RGB-HF-b0.40-s0.3,4,23.54504617820321,0.6460821082194647,0.0019540952052921057,0.0645989403128624
calibration,000,RGB-HF-b0.40-s0.4,4,27.218158116830928,0.7690589378277461,0.0016117078193929046,0.04073909670114517
calibration,003,RGB-HF-b0.40-s0.4,4,30.341828142218944,0.8968580961227417,0.0018878529081121087,0.026323191821575165
calibration,006,RGB-HF-b0.40-s0.4,4,29.61802482435391,0.816452498237292,0.0009077498107217252,0.0296932365745306
calibration,010,RGB-HF-b0.40-s0.4,4,31.407104838763903,0.8767810712258021,0.0007196184305939823,0.021844742819666862
calibration,011,RGB-HF-b0.40-s0.4,4,23.5461081045271,0.6457588175932566,0.0019404818012844771,0.06461313366889954
calibration,000,RGB-HF-b0.40-s0.5,4,27.217576807727234,0.7687275111675264,0.0015121904434636235,0.04077684506773949
calibration,003,RGB-HF-b0.40-s0.5,4,30.34661552408931,0.8971044570207597,0.0017779544577933848,0.026317991316318512
calibration,006,RGB-HF-b0.40-s0.5,4,29.61795392002248,0.8163295487562815,0.0008585723990108818,0.029713904485106468
calibration,010,RGB-HF-b0.40-s0.5,4,31.40203643032333,0.8768529494603475,0.0006818773254053667,0.021882377564907074
calibration,011,RGB-HF-b0.40-s0.5,4,23.54477313261728,0.644973228375117,0.0018253062153235078,0.06465736031532288
calibration,000,RGB-HF-b0.40-s0.8,4,27.17773141939241,0.7662793844938278,0.001278193958569318,0.04106627032160759
calibration,003,RGB-HF-b0.40-s0.8,4,30.289443047998887,0.8961076041062673,0.0015208245604299009,0.026538962498307228
calibration,006,RGB-HF-b0.40-s0.8,4,29.579779466894465,0.8145422041416168,0.0007318011194001883,0.029895931482315063
calibration,010,RGB-HF-b0.40-s0.8,4,31.34959097704664,0.8757878889640172,0.0005820603837491944,0.022076064720749855
