split,sequence,frame,method,psnr,ssim,sharpness
calibration,011,00000060,RGB-HF-b0.05-s0.5,22.985996945546916,0.6167076031366984,0.0019699856638908386
calibration,011,00000080,RGB-HF-b0.05-s0.5,22.740242432128007,0.618322491645813,0.001800572732463479
calibration,000,00000020,RGB-HF-b0.05-s0.8,27.339555761348088,0.7372162938117981,0.0013591705355793238
calibration,000,00000040,RGB-HF-b0.05-s0.8,27.009635247384235,0.7756537000338236,0.0015344005078077316
calibration,000,00000060,RGB-HF-b0.05-s0.8,27.386861221792937,0.7834685246149699,0.0018839114345610142
calibration,000,00000080,RGB-HF-b0.05-s0.8,27.132681729293093,0.7796526551246643,0.0017229318618774414
calibration,003,00000020,RGB-HF-b0.05-s0.8,31.44479547050441,0.9134868780771891,0.0017646291526034474
calibration,003,00000040,RGB-HF-b0.05-s0.8,30.593391378845478,0.9029825528462728,0.0015282623935490847
calibration,003,00000060,RGB-HF-b0.05-s0.8,29.985153911312455,0.8904717961947123,0.0019325404427945614
calibration,003,00000080,RGB-HF-b0.05-s0.8,29.333991839833224,0.8800203998883566,0.0023777021560817957
calibration,006,00000020,RGB-HF-b0.05-s0.8,30.987706714111457,0.8515739838282267,0.0006860335706733167
calibration,006,00000040,RGB-HF-b0.05-s0.8,29.824465584946424,0.8261205752690634,0.00081064976984635
calibration,006,00000060,RGB-HF-b0.05-s0.8,30.255977387324826,0.8334717949231466,0.0007880862103775144
calibration,006,00000080,RGB-HF-b0.05-s0.8,27.399469456322613,0.7543149391810099,0.0013791517121717334
calibration,010,00000020,RGB-HF-b0.05-s0.8,32.084057015987185,0.889610230922699,0.0007593323825858533
calibration,010,00000040,RGB-HF-b0.05-s0.8,31.339339659067335,0.8725379705429077,0.0007099926006048918
calibration,010,00000060,RGB-HF-b0.05-s0.8,30.91883748006743,0.8669179479281107,0.0006998681928962469
calibration,010,00000080,RGB-HF-b0.05-s0.8,31.282933044917417,0.8776745994885763,0.0007287755142897367
calibration,011,00000020,RGB-HF-b0.05-s0.8,24.565385190913393,0.6897148688634237,0.0020159557461738586
calibration,011,00000040,RGB-HF-b0.05-s0.8,23.89005302203344,0.6587982575098673,0.002031868090853095
calibration,011,00000060,RGB-HF-b0.05-s0.8,22.98668719478478,0.6164289315541586,0.0019709612242877483
calibration,011,00000080,RGB-HF-b0.05-s0.8,22.7408536489435,0.6180534760157267,0.0018017035908997059
calibration,000,00000020,RGB-HF-b0.10-s0.3,27.33662823986088,0.7373724778493246,0.0013566187117248774
calibration,000,00000040,RGB-HF-b0.10-s0.3,27.00675279104168,0.7757409413655599,0.0015312458854168653
calibration,000,00000060,RGB-HF-b0.10-s0.3,27.384305536157235,0.7835182348887125,0.0018789507448673248
calibration,000,00000080,RGB-HF-b0.10-s0.3,27.131041104059666,0.7797746260960897,0.001720016822218895
