split,sequence,frame,method,psnr,ssim,sharpness
calibration,011,00000060,RGB-HF-b0.10-s0.4,22.985844912381292,0.6167408029238383,0.0019693404901772738
calibration,011,00000080,RGB-HF-b0.10-s0.4,22.740107124611928,0.6183543006579081,0.0017999127740040421
calibration,000,00000020,RGB-HF-b0.10-s0.5,27.339404242176975,0.7372997005780538,0.0013559526996687055
calibration,000,00000040,RGB-HF-b0.10-s0.5,27.009498113466872,0.7757320205370585,0.0015306787099689245
calibration,000,00000060,RGB-HF-b0.10-s0.5,27.386866761806772,0.783539334932963,0.001878846436738968
calibration,000,00000080,RGB-HF-b0.10-s0.5,27.132886818373837,0.7797328233718872,0.001719306455925107
calibration,003,00000020,RGB-HF-b0.10-s0.5,31.445295794597932,0.9134954412778219,0.001764385960996151
calibration,003,00000040,RGB-HF-b0.10-s0.5,30.594682355404274,0.9030079245567322,0.0015262411907315254
calibration,003,00000060,RGB-HF-b0.10-s0.5,29.98250491984125,0.8904580076535543,0.00192955881357193
calibration,003,00000080,RGB-HF-b0.10-s0.5,29.332646697709563,0.8800280094146729,0.0023744332138448954
calibration,006,00000020,RGB-HF-b0.10-s0.5,30.988019630054353,0.8516175945599874,0.0006832163198851049
calibration,006,00000040,RGB-HF-b0.10-s0.5,29.82426990952618,0.8261714776357015,0.0008056622464209795
calibration,006,00000060,RGB-HF-b0.10-s0.5,30.255669841215006,0.8335116704305013,0.0007824265048839152
calibration,006,00000080,RGB-HF-b0.10-s0.5,27.399612250881347,0.7544079621632894,0.00137436599470675
calibration,010,00000020,RGB-HF-b0.10-s0.5,32.08456887083845,0.8896387418111166,0.0007579375524073839
calibration,010,00000040,RGB-HF-b0.10-s0.5,31.340292262494685,0.8725733757019043,0.0007071901927702129
calibration,010,00000060,RGB-HF-b0.10-s0.5,30.919132353024196,0.8669476310412089,0.0006969483220018446
calibration,010,00000080,RGB-HF-b0.10-s0.5,31.28350203018755,0.8777051369349161,0.0007263457519002259
calibration,011,00000020,RGB-HF-b0.10-s0.5,24.565670170300777,0.6898396015167236,0.0020137031096965075
calibration,011,00000040,RGB-HF-b0.10-s0.5,23.890161987247662,0.6589246590932211,0.002030342584475875
calibration,011,00000060,RGB-HF-b0.10-s0.5,22.986607545042858,0.6165741284688314,0.00196832069195807
calibration,011,00000080,RGB-HF-b0.10-s0.5,22.740794348021748,0.618194580078125,0.0017991815693676472
calibration,000,00000020,RGB-HF-b0.10-s0.8,27.340881025907965,0.7369975248972574,0.0013276197714731097
calibration,000,00000040,RGB-HF-b0.10-s0.8,27.010685735231455,0.7754967411359152,0.0014948322204872966
calibration,000,00000060,RGB-HF-b0.10-s0.8,27.387107205216385,0.7833445072174072,0.001834406633861363
calibration,000,00000080,RGB-HF-b0.10-s0.8,27.132265049460933,0.7794564565022787,0.0016773442039266229
calibration,003,00000020,RGB-HF-b0.10-s0.8,31.444148554749276,0.9135922988255819,0.0017191825900226831
calibration,003,00000040,RGB-HF-b0.10-s0.8,30.58946805316797,0.9030238588651022,0.001493088318966329
calibration,003,00000060,RGB-HF-b0.10-s0.8,29.998935667054756,0.8907048503557841,0.0018844333244487643
calibration,003,00000080,RGB-HF-b0.10-s0.8,29.340689491380996,0.8801854054133097,0.002322243293747306
calibration,006,00000020,RGB-HF-b0.10-s0.8,30.986886765487473,0.8515404661496481,0.0006735075148753822
calibration,006,00000040,RGB-HF-b0.10-s0.8,29.825922502954782,0.8260800639788309,0.000795910891611129
calibration,006,00000060,RGB-HF-b0.10-s0.8,30.258835363094498,0.833516538143158,0.0007729736971668899
calibration,006,00000080,RGB-HF-b0.10-s0.8,27.399091101224936,0.7540667057037354,0.0013476302847266197
calibration,010,00000020,RGB-HF-b0.10-s0.8,32.08207675091523,0.8896185159683228,0.0007436763844452798
calibration,010,00000040,RGB-HF-b0.10-s0.8,31.336265772187012,0.8725557128588358,0.0006966578075662255
calibration,010,00000060,RGB-HF-b0.10-s0.8,30.918712852283974,0.8669991691907247,0.0006870521465316415
calibration,010,00000080,RGB-HF-b0.10-s0.8,31.281309384058748,0.8777081767717997,0.0007146616117097437
calibration,011,00000020,RGB-HF-b0.10-s0.8,24.56416013720394,0.6893196304639181,0.001964675961062312
calibration,011,00000040,RGB-HF-b0.10-s0.8,23.889508236967902,0.6584008932113647,0.0019790318328887224
calibration,011,00000060,RGB-HF-b0.10-s0.8,22.987157077534878,0.6159695784250895,0.0019221993861719966
