method,num_frames,psnr,ssim,laplacian_sharpness,tde
Y-HF-b0.30-s0.3,40,29.4678370476799,0.81221873909235,0.0012873218132881449,0.0339099538512528
Y-MaskHF-b0.30-s0.3-t0.03,40,29.4678370476799,0.81221873909235,0.0012873218132881449,0.0339099538512528
Y-MaskHF-b0.30-s0.4-t0.03,40,29.4678370476799,0.81221873909235,0.0012873218132881449,0.0339099538512528
Y-HF-b0.40-s0.3,40,29.4678370476799,0.81221873909235,0.0012873218132881449,0.0339099538512528
Y-MaskHF-b0.40-s0.3-t0.03,40,29.4678370476799,0.81221873909235,0.0012873218132881449,0.0339099538512528
Y-MaskHF-b0.40-s0.4-t0.03,40,29.4678370476799,0.81221873909235,0.0012873218132881449,0.0339099538512528
Y-HF-b0.50-s0.3,40,29.4678370476799,0.81221873909235,0.0012873218132881449,0.0339099538512528
Y-MaskHF-b0.50-s0.3-t0.03,40,29.4678370476799,0.81221873909235,0.0012873218132881449,0.0339099538512528
Y-MaskHF-b0.50-s0.4-t0.03,40,29.4678370476799,0.81221873909235,0.0012873218132881449,0.0339099538512528
Y-HF-b0.60-s0.3,40,29.4678370476799,0.81221873909235,0.0012873218132881449,0.0339099538512528
Y-MaskHF-b0.60-s0.3-t0.03,40,29.4678370476799,0.81221873909235,0.0012873218132881449,0.0339099538512528
Y-MaskHF-b0.60-s0.4-t0.03,40,29.4678370476799,0.81221873909235,0.0012873218132881449,0.0339099538512528
Y-HF-b0.10-s0.4,40,29.467836535936453,0.8122187187274298,0.0012872347317170352,0.033909960215290386
Y-HF-b0.05-s0.5,40,29.467828884814274,0.8122183213631313,0.0012866595512605271,0.033910044406851136
Y-MaskHF-b0.40-s0.5-t0.03,40,29.467827401251043,0.8122187082966169,0.0012872552950284443,0.03390996931120753
Y-MaskHF-b0.20-s0.8-t0.03,40,29.467811875655638,0.8122186377644539,0.0012870374819613061,0.033910038570563
Y-MaskHF-b0.50-s0.5-t0.03,40,29.46780384581506,0.8122185871005059,0.001286926312604919,0.03391007436439395
Y-MaskHF-b0.60-s0.5-t0.03,40,29.46776394925479,0.8122181693712871,0.0012862158633652142,0.03391026950751742
Y-MaskHF-b0.30-s0.8-t0.03,40,29.467728237570224,0.8122171615560848,0.0012849443854065612,0.03391063315793871
Y-MaskHF-b0.40-s0.8-t0.03,40,29.467684878361524,0.8122139915823936,0.0012816635353374295,0.03391140444825093
Y-MaskHF-b0.50-s0.8-t0.03,40,29.467668549757708,0.8122095326582592,0.0012779469296219758,0.033912181078145906
Y-MaskHF-b0.60-s0.8-t0.03,40,29.467641935405574,0.8122038036584854,0.0012738891353365033,0.033912862061212454
Y-HF-b0.40-s0.5,40,29.467333454458405,0.8117260172963142,0.0011533293516549747,0.033934200461953876
Y-HF-b0.50-s0.5,40,29.464230409055936,0.8114978248874346,0.0011191108365892432,0.03395101704324285
Y-HF-b0.20-s0.8,40,29.46220581519402,0.8113690411051113,0.001124264288955601,0.03395845651005705
