frame,alpha_mean,alpha_max,disagreement_mean,temporal_risk_mean,BasicVSR_psnr,BasicVSR_ssim,BasicVSR_sharp,VSRGAN_psnr,VSRGAN_ssim,VSRGAN_sharp,RGB-Hybrid_psnr,RGB-Hybrid_ssim,RGB-Hybrid_sharp,FUGR-no-temporal_psnr,FUGR-no-temporal_ssim,FUGR-no-temporal_sharp,FUGR-temporal_psnr,FUGR-temporal_ssim,FUGR-temporal_sharp
00000023.png,0.015348180197179317,0.1369633674621582,0.02832626923918724,0.02039259672164917,27.23079195230404,0.7391705513000488,0.0014722369378432631,24.77100283142526,0.649628480275472,0.005836064927279949,27.23391423769714,0.7392280101776123,0.0014821614604443312,27.240380599643505,0.7393989562988281,0.0015145647339522839,27.235602489717916,0.7392910718917847,0.0014970146585255861
00000024.png,0.015242154709994793,0.14088506996631622,0.028137024492025375,0.020663034170866013,27.20301151693713,0.7447937925656637,0.0015335894422605634,24.775004470094743,0.6570646365483602,0.0060164001770317554,27.206849430776096,0.7449000875155131,0.001543316524475813,27.213717949845698,0.745110829671224,0.0015749501762911677,27.208278092130612,0.7449600100517273,0.0015583318891003728
00000025.png,0.015316310338675976,0.13381315767765045,0.028648177161812782,0.020603084936738014,27.156012331830333,0.7503125270207723,0.0015749967424198985,24.671204578804403,0.6619633833567301,0.006161271594464779,27.15989409522482,0.7503976623217264,0.001585718127898872,27.166176065432527,0.7505700389544169,0.0016198150115087628,27.16124138293319,0.7504562735557556,0.001600195886567235
00000026.png,0.015470734797418118,0.1388196051120758,0.028784392401576042,0.020139290019869804,27.07647872905595,0.7502385377883911,0.0016068448312580585,24.60937720101373,0.6636406779289246,0.0060121784918010235,27.07987343322317,0.7503019968668619,0.0016146559501066804,27.08577494182038,0.7504533926645914,0.0016465027583763003,27.081342249588932,0.7503642837206522,0.0016298461705446243
00000027.png,0.015559326857328415,0.1476738452911377,0.028390049934387207,0.01997876539826393,27.101755673421586,0.7522455453872681,0.0015739883529022336,24.657167174239444,0.6638726790746053,0.005913904402405024,27.104488274638445,0.7522902687390646,0.0015835205558687449,27.108256431888798,0.7524110078811646,0.0016186687862500548,27.106260155546245,0.7523569663365682,0.0015991776017472148
00000028.png,0.015352870337665081,0.1407414823770523,0.0281705129891634,0.019939200952649117,27.114274966252157,0.7511593898137411,0.0015167922247201204,24.68258698216512,0.6637919147809347,0.005846803076565266,27.117661603663947,0.7512225111325582,0.0015273394528776407,27.122934584609915,0.7513757546742758,0.0015619485639035702,27.119207587541712,0.7512851158777872,0.0015425827587023377
00000029.png,0.015315946191549301,0.14006070792675018,0.02775523252785206,0.019666319712996483,27.16137944831535,0.7527782122294108,0.0015142057090997696,24.736955466333107,0.6615246931711832,0.005752915050834417,27.16350410473857,0.7527870933214823,0.0015235583996400237,27.167497124429797,0.7528871099154154,0.0015573450364172459,27.16522758385902,0.752861479918162,0.001538670971058309
00000030.png,0.01538684032857418,0.14092108607292175,0.027557846158742905,0.01934782601892948,27.126117465691056,0.7541876832644144,0.0015365886501967907,24.71296878576108,0.6671948432922363,0.005600807722657919,27.1278874953302,0.7542135715484619,0.001544665894471109,27.132392269721738,0.7543329993883768,0.0015739199006929994,27.129816198090584,0.7542822360992432,0.0015592891722917557
00000031.png,0.015282336622476578,0.13764657080173492,0.02733030542731285,0.019394876435399055,27.11759781793694,0.75892440478007,0.0015424895100295544,24.740629729914723,0.6696061889330546,0.005852791015058756,27.120556118133248,0.7589651544888815,0.001552594592794776,27.125976082292063,0.7591220736503601,0.0015883741434663534,27.12238122145523,0.7590388456980387,0.001567065017297864
00000032.png,0.015384896658360958,0.1383674591779709,0.02737530879676342,0.019174978137016296,27.06344111229795,0.7591846187909445,0.0015845950692892075,24.719602969728605,0.6717431743939718,0.005645413883030415,27.065582434568686,0.7592134674390157,0.001592659275047481,27.070615070267042,0.759354809919993,0.0016246580053120852,27.067510682150598,0.7592891454696655,0.0016073076985776424
