split,sequence,method,num_frames,psnr,ssim,sharpness,edge_psnr,flat_psnr,hf_mae,tde
all40,026,FreqFusion-selected-b0.60-s0.4,4,32.906835956171584,0.878482570250829,0.0007053514418657869,27.959227809132962,36.20123435061748,0.008084704517386854,0.019601769124468166
all40,028,FreqFusion-selected-b0.60-s0.4,4,33.55855070766017,0.9114240308602651,0.001116534898756072,28.061850005643826,38.13155982999212,0.007350785774178803,0.018504743774731953
all40,029,FreqFusion-selected-b0.60-s0.4,4,34.443956668418664,0.9363920042912166,0.0006614779849769548,28.419856504079984,40.55999163827487,0.006089629488997161,0.015486689284443855
all40,000,FreqFusion-expandedbest-b0.30-s0.5,4,27.218672106192578,0.7688892831405003,0.0015560824540443718,22.401005801342876,30.311184568650123,0.017417127266526222,0.040757857263088226
all40,003,FreqFusion-expandedbest-b0.30-s0.5,4,30.346274893040537,0.8970352113246918,0.0018257911724504083,24.94972727041695,34.54669582519736,0.010049786418676376,0.026315500338872273
all40,006,FreqFusion-expandedbest-b0.30-s0.5,4,29.618826082378668,0.8164038608471552,0.0008817834459478036,24.708439224655887,32.93815288279278,0.013087138766422868,0.029703355704744656
all40,010,FreqFusion-expandedbest-b0.30-s0.5,4,31.404971131298655,0.8768446693817774,0.0006994016439421102,25.617226951048572,36.60811420933627,0.009096240857616067,0.0218656025826931
all40,011,FreqFusion-expandedbest-b0.30-s0.5,4,23.545765450454923,0.6453141421079636,0.0018760033999569714,20.092620876801124,25.127119939873296,0.030057331547141075,0.06463588525851567
all40,018,FreqFusion-expandedbest-b0.30-s0.5,4,24.63447660738933,0.6250563462575277,0.0013986999401822686,21.464870969295134,25.996638313911618,0.02756903599947691,0.06117552891373634
all40,020,FreqFusion-expandedbest-b0.30-s0.5,4,27.369457949873773,0.7867300311724345,0.0010675514786271378,22.201050923260258,31.055982269757717,0.016317955683916807,0.038682022442420326
all40,026,FreqFusion-expandedbest-b0.30-s0.5,4,32.91081561800303,0.8785119156042734,0.0006945087370695546,27.962405198749263,36.206607032896,0.008073723409324884,0.019598813106616337
all40,028,FreqFusion-expandedbest-b0.30-s0.5,4,33.557795488712145,0.911475345492363,0.0010983042884618044,28.05719166690328,38.141369482325324,0.007341104676015675,0.01851070299744606
all40,029,FreqFusion-expandedbest-b0.30-s0.5,4,34.44512542454866,0.9364086041847866,0.0006518083973787725,28.419980026149947,40.56572230651633,0.006079959683120251,0.01549114721516768
calibration,000,BasicVSR,4,27.203840550462758,0.7688583085934321,0.0017011447926051915,22.389523440843433,30.291279685251823,0.017475115600973368,0.040793854743242264
calibration,003,BasicVSR,4,30.310160296377425,0.8962135712305704,0.0020202170126140118,24.92652916366206,34.47957859803155,0.0101660774089396,0.026409414907296497
calibration,006,BasicVSR,4,29.59713862689323,0.8161119769016901,0.0009753918857313693,24.695012747035932,32.90074876358146,0.013151510618627071,0.0297455092271169
calibration,010,BasicVSR,4,31.387649195554477,0.8762688686450323,0.0007775286212563515,25.611633534812487,36.554144061438734,0.00915767764672637,0.021878114591042202
calibration,011,BasicVSR,4,23.54171468404667,0.6461338549852371,0.0020300742762628943,20.09093684165849,25.121021011049375,0.03008963679894805,0.0646371158460776
calibration,000,FUGR-C,4,27.214561369770678,0.7691009491682052,0.0017149358172900975,22.4007292382301,30.301160723494615,0.017453501001000404,0.04072809840242068
calibration,003,FUGR-C,4,30.331641951118307,0.8965290834506352,0.0019978466734755784,24.94564569139702,34.50712380660771,0.01013880386017263,0.02634091054399808
calibration,006,FUGR-C,4,29.61408915528052,0.8163757373889288,0.0009725923009682447,24.710883244830022,32.9204386207292,0.013132002903148532,0.02968675270676613
calibration,010,FUGR-C,4,31.40584074959962,0.8765958299239476,0.0007719394779996946,25.626604065909177,36.58237855283436,0.009136410662904382,0.02182659072180589
calibration,011,FUGR-C,4,23.544858520411307,0.6461115827163061,0.0020505755383055657,20.094295581897683,25.123989596687736,0.030073513742536306,0.06459752221902211
calibration,000,ControlNet-FUGR,4,20.618334755521445,0.5299280683199564,0.0011705114011419937,16.527540049276,22.781624534803356,0.0207179537974298,0.09144725650548935
