split,sequence,frame,method,psnr,ssim,sharpness,edge_psnr,flat_psnr,hf_mae
all40,010,00000080,FreqFusion-expandedbest-b0.30-s0.5,31.281722288559806,0.8778299689292908,0.0007037389441393316,25.46218481854983,36.581994587731565,0.009087455458939075
all40,011,00000020,FreqFusion-expandedbest-b0.30-s0.5,24.564092169135563,0.689306894938151,0.0019325338071212173,20.772245332262223,26.425568439679672,0.025867030024528503
all40,011,00000040,FreqFusion-expandedbest-b0.30-s0.5,23.889579055161988,0.6583914359410604,0.0019473499851301312,20.345744764919903,25.535011534857684,0.028566457331180573
all40,011,00000060,FreqFusion-expandedbest-b0.30-s0.5,22.987629827665344,0.6159533063570658,0.001891763648018241,19.815542144491538,24.34849890026498,0.03262738138437271
all40,011,00000080,FreqFusion-expandedbest-b0.30-s0.5,22.741760749856788,0.617604931195577,0.0017323661595582962,19.436951265530833,24.19940088469085,0.03316845744848251
all40,018,00000020,FreqFusion-expandedbest-b0.30-s0.5,23.889782106736046,0.594162126382192,0.0015540937893092632,20.945551531579987,25.09567672498877,0.03098859079182148
all40,018,00000040,FreqFusion-expandedbest-b0.30-s0.5,24.444761596837527,0.618373175462087,0.0014068682212382555,21.32501793554973,25.7687358785913,0.028266262263059616
all40,018,00000060,FreqFusion-expandedbest-b0.30-s0.5,24.86979231516743,0.6430266896883646,0.0013814038829877973,21.546398147217985,26.34125550620223,0.026056131348013878
all40,018,00000080,FreqFusion-expandedbest-b0.30-s0.5,25.333570410816325,0.644663393497467,0.0012524338671937585,22.04251626283284,26.78088514586417,0.024965159595012665
all40,020,00000020,FreqFusion-expandedbest-b0.30-s0.5,28.3837301163411,0.805566410223643,0.0008979674312286079,23.113931600834956,32.26921921860268,0.014280956238508224
all40,020,00000040,FreqFusion-expandedbest-b0.30-s0.5,26.863182477857816,0.7815554539362589,0.0012076887069270015,21.698140534188877,30.540707460407308,0.017189104110002518
all40,020,00000060,FreqFusion-expandedbest-b0.30-s0.5,27.03727517860618,0.7767082452774048,0.0010826284997165203,21.926475571675773,30.61265496459661,0.017081379890441895
